Timestamp,How did you hear about the retreat?,What is your relationship with SWC or DC?,What did you participate in at the Retreat?,,What were you hoping to do or see at the Retreat? How well did reality match those expectations?,Did you have the chance to make suggestions or offer input on what the group focused on at the Retreat? What could have been done to better help you offer input?,"Who did you network with at the retreat? Colleagues you already knew, or new people? Software Carpentry Insturctors, or other?",How many new people did you meet at the Retreat?
11/14/2015 13:22:42,"SWC blog, I think.","Host, Instructor","Conversations  / Round Table Discussions, Global Broadcasts (active contribution ie speaking or commenting), Material writing / review",,"Get up to speed with python3 so that I'm ready to teach python again. Capture this experience for future use. Get up to speed with other changes / ideas.

I got started, but missed the start of the python3 session (train issues). Had interesting discussions online and in person with other people at the local site.","Probably useful to have a ""session chair"" local to each speaker, to take questions from the etherpad and ask them. ","Mixture of colleagues and other instructors I already knew, and three people I had not met before.",3-5
11/14/2015 13:24:10,"SWC instructor mailing list, and then another instructor, Ivan told me about the Boston meeting specifically.","Content Contributor, Helper, Host, Instructor",Conversations  / Round Table Discussions,,I was hoping to meet others and hear about different ways of teaching and approaching the different topics. So mission accomplished!,"I gave lots of suggestions about things we have been doing in my workshops, and heard suggestions from others. It was very casual and everyone had a chance to give input.","All new people. I was visiting another city at the time, so hadn't met the local community before.",6-10
11/14/2015 13:25:45,"From a colleague, and fellow SWC trainer","Content Contributor, Helper, Host, Instructor",Conversations  / Round Table Discussions,,"No expectations, so it was much better :)",It was great!,"New people, SWC instructors and others",3-5
11/14/2015 13:29:47,I heard about the retreat through the SWC instructor mailing list.,Instructor,"Conversations  / Round Table Discussions, Examining new teaching materials",,"Mainly I wanted to talk to others about how they teach to novice programmers, specifically to biologists. I also wanted to connect with people who might be able to help me instruct the same. We succeeded in meeting these expectations greatly! I'm very pleased.",I had the opportunity to provide input but deferred to site hosts to organize activities. I was quite open-minded about our pursuits during the retreat and am pleased with the outcome.,"I networked with other Software Carpentry and Data Carpentry instructors, all of whom are new acquaintances to me. I've made valuable connections that I intend to continue after the retreat ends.",3-5
11/14/2015 15:16:25,From the software carpentry mailing list,"Content Contributor, Helper, Instructor","Conversations  / Round Table Discussions, Global Broadcasts (active contribution ie speaking or commenting), Global Broadcasts (watching)",,"I could only stay for the first couple of slots (social obligations!) but it was more or less as expected - presenting to the group went about as smoothly as one can expect for a hangouts first-timer (a bit of a delay, but I got the whole talk done in the time-slot, so no problem). Greg's presentation went well and generated some interesting discussion, but then I had to dash off to a friend's wedding!","I think the method of offering input via the Etherpad was perfect. The chat served for ephemeral discussion that didn't need storage; the pad itself served to record decisions and/or important questions. In other words, it's an ideal tool for this.","Directly, just the UK north west group (Aleksandra, Anthony, etc.) but it was nice to interact with the global group on the etherpad chat, and to see Greg's presentation.",1-2
11/14/2015 15:44:44,Email,Instructor,"Conversations  / Round Table Discussions, Global Broadcasts (watching)",,"Meet other instructors - success

Find out more about SWC - success

Experience some practical teaching - partial success but was hoping to see some live teaching rather than via hangout",No.,Mixture of new and existing colleagues. Can't really say I got to know anyone at the end of a hangout.,3-5
11/14/2015 17:00:34,Instructor email list,"Content Contributor, Instructor","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (active contribution ie speaking or commenting), Global Broadcasts (watching)",,,,"New people,  instructors and other",3-5
11/14/2015 17:03:09,From Marianne Corvellec,,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,"Learn more about Software Carpentry, discuss the teaching of technology.",Great retreat. Everyone was encouraging and inclusive.,"I was able to network with those I already knew, as well as make new acquaintances. ",3-5
11/14/2015 17:09:46,Email invitation,"Helper, Student","Conversations  / Round Table Discussions, Global Broadcasts (watching)",,Some example lessons,An update on the newest ideas at swc. ,Both :) ,3-5
11/14/2015 18:18:37,From Tiffany Timbers and through SWC emails,Instructor,"Conversations  / Round Table Discussions, Material writing / review",,The hope was to meet instructors in the area and discuss different topics. This meeting went better than expected as it was great to hear feedback and discuss areas of concers and we have formed future collaborations,It was great as is,50% famiiiar faces and 50% new faces,3-5
11/14/2015 19:09:27,Local contact in Seattle,Helper,"Conversations  / Round Table Discussions, Global Broadcasts (watching)",,Learn about new material being developed and meet other local instructors. Well.,Yep. Nothing more was needed.,Yep.,1-2
11/14/2015 19:12:16,SWC website,"Helper, Instructor, Student","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,"Meet other instructors -- good
Learn how other people teach -- good",Yes,New people and familiar faces--instructors and students/people interested in becoming instructors,3-5
11/14/2015 19:20:05,Through Andrew,Student,"Conversations  / Round Table Discussions, Global Broadcasts (watching)",,Seeing the different packages and challenges. Yes it did. ,"More focused discussions, with directed questions. ",Colleagues who were new to me and who I didn't know. ,1-2
11/14/2015 19:20:30,Invitation from Tiffany,"Helper, Host, Instructor","Conversations  / Round Table Discussions, Global Broadcasts (watching), Material writing / review",,"Meet with members of the Software Carpentry community in Vancouver, and start contributing to the community resources too. ",I was able to make suggestions. Nothing immediately comes to mind on how to improve it. ,"New people, including faculty ",More than 10
11/14/2015 19:20:57,An R Study Group at UBC,Helper,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,"Conversations about teaching, seeing/discussing new lesson plans.  Met expectations.",Yes,"Some people I knew from class, study groups, swc, and some new people",3-5
11/14/2015 19:21:33,Instructor,Student,Conversations  / Round Table Discussions,,Learn how SWC conducted. Maybe.,Yes.,Colleagues I knew + new people.,6-10
11/14/2015 19:21:46,Noam Ross put the idea on Twitter.,Instructor,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (active contribution ie speaking or commenting), Global Broadcasts (watching)",,"I was hoping to see people try teaching, test/discuss new lesson material, and the community to get to know eachother better. All these things happened. ",Yes.,"Software Carpentry instructors I already knew, and one I didn't. SWC helpers I knew and one I didn't.",1-2
11/14/2015 19:21:54,Through the Vancouver SWC mailing list,"Content Contributor, Helper, Instructor","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching), Material writing / review",,"I was hoping to discuss teaching methods, see new material taught, and give feedback for those that wanted it, as well as get feedback myself. I got all of this, and plenty of it!","Yes, many chances. The group was very open and conversational. The meeting went perfectly, as far as I'm concerned.",Both new and familiar colleagues.,3-5
11/14/2015 19:22:07,I think via the UBC R Study Group?,"Content Contributor, Instructor","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (active contribution ie speaking or commenting), Material writing / review, Practice Teaching",,I was hoping to get feedback on some packages I want to write to assist in SWC-type settings. Yes I got that.,Yes we had ample opportunities to steer where things were going during the day.,I got to know some students at my own university better and also met a new person from local industry that I think will be a good connection.,3-5
11/14/2015 19:22:09,From co-workers involved in SWC,Student,"Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching)",,"Will soon be doing SWC Instructor training, and wanted to get a sense of what SWC was all about. Was hoping to see cool people talking about teaching computer skills, and expectations were exceeding, ","I did not have the chance, but I believe the group would have been open to a change in schedule/topics.",I was able to network with all people from all those categories.,3-5
11/14/2015 19:23:06,One of the Software Carpentry mailing lists.,Instructor,"Conversations  / Round Table Discussions, Examining new teaching materials",,I was hoping to connect with the local Software Carpentry folk in Vancouver and get some ideas around teaching. Both of these things went very well!,I think I was given a lot of opportunity to offer input. The organizers did a great job!,"I didn't know any of the folks here when I arrived, so this was great!",6-10
11/14/2015 19:26:03,"From Tiffany, by email on the Vancouver list!

",Instructor,"Examining new teaching materials, Practice Teaching",,i would have liked more practice teaching but overall this was great,"Well I was the site host / organizer, so I felt that I had lots of input","Mostly people i knew already, but a few from elsewhere, including SFU",3-5
11/14/2015 19:49:30,Through university email,first time,"Conversations  / Round Table Discussions, Practice Teaching",,"I expected somewhat more people.

Expected to teach and iron out related problems, and in this sense it worked well.  Got feedback, and also saw myself what I should change.

Understand better what the SC is.",,Mostly new people.  Some where instructors.,3-5
11/14/2015 21:00:04,email/escience institute discussions,I would like to become an instructor,"Conversations  / Round Table Discussions, Global Broadcasts (watching)",,I was hoping to see a few discussions of material people were planning on teaching. The reality matched those expectations pretty well.,A few chances probably. I would say that the situation was essentially as friendly and welcoming as possible. ,"Both colleagues (most of whom are intending to join the software carpentary instruction team) and new people, at least two of whom are software carpentary instructors",3-5
11/15/2015 0:45:47,Others in Vancouver and on the swc email list.,"
","Conversations  / Round Table Discussions, Examining new teaching materials, Global Broadcasts (watching), Material writing / review",,I was hoping to brainstorm ideas and chat with friends. Reality was exactly that.,I did. It might've been easier if we'd had fewer etherpads to look at and talk on: it got hard to keep track at times.,Both! I met a new person who will definitely be collaborating with me on new swc materials and had great chats with my established swc friends.,3-5
11/15/2015 13:37:29,Posting in mailing list,Student,Conversations  / Round Table Discussions,,Material writing,"- Yes
- I could have been better organised. No fault of retreat group",New people. Software carpentry instructors,3-5
11/15/2015 16:18:09,UofT scientific coders study group,Student,"Conversations  / Round Table Discussions, Global Broadcasts (watching), Practice Teaching",,"I was hoping to learn some new skills regarding teaching whether it be through new techniques or programs. It seemed to match my expectations for the most part, but there was a lot of troubleshooting happening on the spot which led to less learning. ",Yes. It was a small group so we all had the chance to offer input.,Both those I knew and new people. Software carpentry instructors as well as others.,3-5
