M,Ivan Gonzalez
M,Trevor Bekolay
M,Naupaka Zimmerman
M,Greg Wilson
M,Mateusz Kuzak
M,Michael Jackson
F,Christina Koch
M,Kai Blin
M,Elliott Sales de Andrade
M,Dan Jones
M,Alexandre M. S.
M,Toby Hodges
M,Kevin Foobar
M,John Blischak
M,David Ketcheson
F,Azalee Bostroem
M,Tom Wright
M,Marcel Stimberg
M,Derek Weitzel
M,Bartosz Telenczuk
M,Andreas Mueller
M,Adam Obeng
M,Ashwin Srinath
M,W. Trevor King
M,Ry4an Brase
M,Raniere Silva
U,Jin
F,Abigail Cabunoc Mayes
U,dieface
M,Leighton Pritchard
M,Kyriakos Chatzidimitriou
F,Daisie Huang
F,Bérénice Batut
M,Andrew Walker
M,Sebastian Schmeier
F,Raquel Alegre
U,Puget Sound Regional Council
M,Loïc Estève
M,Ivana Kajić
M,Gerard Capes
M,Fernando Mayer
M,Dr David Martin
M,David J. Harris
M,Chip Oglesby
M,Bruno Grande
M,Bill
M,Tim Tröndle
F,Sarah Meister
F,Rochelle Terman
M,Reed A. Cartwright
F,Madeleine Bonsma
F,Lina Tran
M,Lex Nederbragt
M,Heath Blackmon
M,Edwin van der Helm
M,Derek
M,Brendan Smithyman
F,Asia Jędrzejewska-Szmek
M,Ariel Rokem
M,Andrew Davison
M,Abel Siqueira
U,Warda Syeda
M,Ryan Neufeld
M,Rohit Rawat
M,Nicolas Fauchereau
F,Natasha Pavlovikj
M,Lukas Weber
M,Luciano Issoe
F,Kally Chung
M,Juan A. Ugalde
M,Joseph Stachelek
M,Jingchao Zhang
M,Jan Gosmann
F,Grace Cox
M,Fotis E. Psomopoulos
M,Eric Ma
M,David Jones
M,Daren Card
M,BP Chapman
F,Auriel Fournier
M,Athanassios Kintsakis
U,Antonia Gogoglou
M,david wang
M,Vijay Ivaturi
U,UC San Diego Library
F,Tracy Teal
U,Tao Li
M,Sean Aubin
M,Samuel Lelièvre
M,Pete Houston
M,Neal Davis
M,Miguel Branco
F,Megan A. Jones
F,Mariela Perignon
U,Li Xiang
M,Kwangchun Lee
M,Konrad Hinsen
U,K. A. S. Mislan
U,K
F,Julia Gustavsen
M,Jonah Duckles
U,Hechuan Wang
U,Fran Navarro
M,Filipe Oliveira
M,Evgenij Belikov
M,Ethan White
U,Compute Canada / Calcul Canada
M,Chris Norton
M,Casey Bergman
M,Benjamin Laken
M,Arnstein Orten
U,Amali Thrimawithana
