start,slug,online,learners,completed this,completed this [%],completed other,completed other [%],no badge,no badge [%],taught at least once,taught at least once [%]
2012-08-26,2012-08-26-ttt-online,1,20,17,85,0,0,3,15,17,85
2012-10-11,2012-10-11-ttt-online,1,25,15,60,2,8,8,32,15,60
2013-01-06,2013-01-06-ttt-online,1,12,4,33.3,1,8.3,7,58.3,4,33.3
2013-03-12,2013-03-12-ttt-online,1,27,16,59.3,0,0,11,40.7,16,59.3
2013-05-12,2013-05-12-ttt-online,1,45,18,40,0,0,27,60,14,31.1
2013-08-12,2013-08-12-ttt-online,1,41,20,48.8,4,9.8,17,41.5,18,43.9
2013-09-30,2013-09-30-ttt-online,1,57,19,33.3,2,3.5,36,63.2,16,28.1
2014-01-16,2014-01-16-ttt-online,1,67,16,23.9,5,7.5,46,68.7,14,20.9
2014-04-24,2014-04-24-ttt-online,1,58,20,34.5,3,5.2,35,60.3,11,19
2014-04-28,2014-04-28-ttt-mozilla,0,43,28,65.1,3,7,12,27.9,23,53.5
2014-06-05,2014-06-05-ttt-online,1,29,3,10.3,1,3.4,25,86.2,0,0
2014-06-11,2014-06-11-ttt-online,1,59,23,39,3,5.1,33,55.9,16,27.1
2014-09-10,2014-09-10-ttt-online,1,81,38,46.9,6,7.4,37,45.7,28,34.6
2014-09-22,2014-09-22-ttt-uva,0,31,11,35.5,1,3.2,19,61.3,9,29
2014-10-22,2014-10-22-ttt-tgac,0,41,18,43.9,2,4.9,21,51.2,15,36.6
2014-11-12,2014-11-12-ttt-washington,0,20,7,35,2,10,11,55,7,35
2015-01-06,2015-01-06-ttt-ucdavis,0,44,19,43.2,4,9.1,21,47.7,15,34.1
2015-02-01,2015-02-01-ttt-online,1,125,42,33.6,2,1.6,81,64.8,23,18.4
2015-02-11,2015-02-11-ttt-melbourne,0,46,40,87,2,4.3,4,8.7,30,65.2
2015-03-10,2015-03-10-ttt-lbl,0,12,6,50,0,0,6,50,3,25
2015-04-08,2015-04-08-ttt-nih,0,17,4,23.5,0,0,13,76.5,1,5.9
2015-05-11,2015-05-11-ttt-compute-canada,0,22,14,63.6,2,9.1,6,27.3,10,45.5
2015-05-27,2015-05-27-ttt-msu,0,26,7,26.9,0,0,19,73.1,7,26.9
2015-06-08,2015-06-08-ttt-online,1,22,10,45.5,0,0,12,54.5,3,13.6
2015-06-12,2015-06-12-ttt-iplant,0,22,8,36.4,2,9.1,12,54.5,1,4.5
2015-06-16,2015-06-16-ttt-aciref,0,24,9,37.5,2,8.3,13,54.2,3,12.5
2015-09-08,2015-09-08-ttt-online,0,17,8,47.1,0,0,9,52.9,4,23.5
2015-09-14,2015-09-14-ttt-leeds,0,18,6,33.3,0,0,12,66.7,0,0
2015-09-21,2015-09-21-ttt-icl,0,14,3,21.4,0,0,11,78.6,0,0
2015-10-08,2015-10-08-ttt-ucl,0,16,2,12.5,0,0,14,87.5,1,6.2
2015-10-15,2015-10-15-ttt-online,1,48,8,16.7,0,0,40,83.3,2,4.2
2015-11-23,2015-11-23-instructor-training-manchester,0,25,5,20,0,0,20,80,3,12
2015-12-07,2015-12-07-ttt-toronto,1,17,1,5.9,0,0,16,94.1,1,5.9
2015-12-07,2015-12-07-ttt-Au,1,4,0,0,0,0,4,100,0,0
2015-12-07,2015-12-07-na-instructor-training,1,22,2,9.1,1,4.5,19,86.4,2,9.1
2015-12-07,2015-12-07-eu-instructor-training,1,15,3,20,0,0,12,80,0,0
2016-01-05,2016-01-05-ok-instructor-training,0,19,1,5.3,0,0,18,94.7,0,0
2016-01-13,2016-01-13-instructor-training-lausanne,0,0,0,0,0,0,0,0,0,0
2016-01-18,2016-01-18-brisbane-instructor-training,0,0,0,0,0,0,0,0,0,0
2016-01-21,2016-01-21-melbourne-instructor-training,0,0,0,0,0,0,0,0,0,0
2016-01-21,2016-01-21-training-florida,0,25,1,4,0,0,24,96,1,4
2016-01-28,2016-01-28-auckland-instructor-training,0,0,0,0,0,0,0,0,0,0
2016-02-16,2016-02-16-training-online,1,0,0,0,0,0,0,0,0,0
2016-02-22,2016-02-22-training-ucdavis,0,0,0,0,0,0,0,0,0,0
2016-03-09,2016-03-09-ttt-online,1,0,0,0,0,0,0,0,0,0
2016-04-13,2016-04-13-training-online,1,33,0,0,0,0,33,100,0,0
