Person,Certified,Taught
48,2014-05-04,2014-09-11
75,2013-07-20,2013-03-20
75,2013-07-20,2013-03-24
75,2013-07-20,2013-04-08
75,2013-07-20,2013-06-03
75,2013-07-20,2013-07-18
75,2013-07-20,2013-08-27
75,2013-07-20,2013-12-03
75,2013-07-20,2014-01-21
75,2013-07-20,2014-01-30
75,2013-07-20,2014-04-29
75,2013-07-20,2014-05-23
75,2013-07-20,2014-08-05
75,2013-07-20,2015-01-07
75,2013-07-20,2015-04-13
75,2013-07-20,2015-07-06
85,2014-12-23,2015-03-06
85,2014-12-23,2015-06-17
85,2014-12-23,2015-07-16
85,2014-12-23,2016-01-19
87,2013-11-25,2014-05-12
87,2013-11-25,2015-03-20
87,2013-11-25,2015-09-08
87,2013-11-25,2015-11-05
135,2015-02-03,2015-09-03
155,2014-09-18,2015-01-15
155,2014-09-18,2015-04-09
155,2014-09-18,2015-10-22
161,2014-11-27,2015-01-14
161,2014-11-27,2015-09-28
183,2014-10-16,2015-04-16
187,2015-02-27,2015-07-02
187,2015-02-27,2015-08-03
187,2015-02-27,2015-09-28
231,2012-12-20,2012-11-28
231,2012-12-20,2013-03-07
231,2012-12-20,2014-01-27
231,2012-12-20,2014-07-19
253,2014-10-03,2015-01-08
266,2014-12-23,2013-05-09
266,2014-12-23,2013-12-03
266,2014-12-23,2014-12-03
266,2014-12-23,2015-02-03
266,2014-12-23,2015-04-16
266,2014-12-23,2015-11-25
266,2014-12-23,2016-02-16
319,2012-12-20,2012-07-12
319,2012-12-20,2012-07-19
319,2012-12-20,2012-11-08
319,2012-12-20,2013-06-09
319,2012-12-20,2014-04-14
319,2012-12-20,2014-06-22
319,2012-12-20,2014-07-02
319,2012-12-20,2014-10-06
319,2012-12-20,2014-12-18
319,2012-12-20,2015-01-08
319,2012-12-20,2016-02-02
345,2016-02-12,2016-01-16
361,2013-11-25,2014-04-09
361,2013-11-25,2014-06-20
361,2013-11-25,2014-06-24
361,2013-11-25,2014-07-08
361,2013-11-25,2014-10-11
361,2013-11-25,2014-12-18
361,2013-11-25,2015-05-26
361,2013-11-25,2016-01-03
410,2015-02-27,2015-02-23
410,2015-02-27,2015-02-26
410,2015-02-27,2015-06-23
410,2015-02-27,2015-08-24
410,2015-02-27,2016-02-02
415,2014-08-12,2014-07-24
415,2014-08-12,2015-01-05
464,2014-09-18,2015-02-21
464,2014-09-18,2015-10-03
464,2014-09-18,2016-02-18
464,2014-09-18,2016-05-07
497,2014-05-04,2014-10-30
497,2014-05-04,2015-05-11
497,2014-05-04,2015-06-25
497,2014-05-04,2016-01-09
500,2013-07-20,2013-09-24
500,2013-07-20,2013-10-03
500,2013-07-20,2014-02-13
500,2013-07-20,2014-02-18
500,2013-07-20,2014-07-14
